code,cb_sum,cb_propcorrect,csvtm_sum,cvstm_propcorrect,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15,question16,question17,question18,group_all,mean_rl_all,mean_e1_all,mean_d1_all,mean_d_all,pre1,pre2,pre3,pre4,post,strategies,vp_sum,vp_propcorrect
132,33,0.916666667,96,0.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,below,4.5,3.85,5.718614,38.42954,6.3,7.3,6.7,7,4,1,25,0.694444444
133,27,0.75,86,0.716666667,2,4,4,3,2,3,1,1,2,3,3,2,1,3,2,3,2,2,below,5.35,2.95,4.9862325,35.57713,4.1,3.3,2.6,1.8,2.3,1,35,0.972222222
134,27,0.75,94,0.783333333,3,3,3,2,1,1,3,4,3,3,3,3,1,3,4,2,3,3,control,4.25,3.6,7.648637,46.14483,5,5,4.8,6.2,3.4,1,28,0.777777778
135,22,0.611111111,80,0.666666667,0,3,3,1,1,2,3,3,3,2,3,1,2,1,3,2,1,3,below,4.9,3.7,12.5562635,45.789515,3.3,2.6,2.6,1.8,2.1,2,30,0.833333333
136,29,0.805555556,102,0.85,0,4,3,1,1,2,0,1,4,3,2,2,1,0,3,0,1,2,below,4.5,3.95,6.9003645,34.23783,9.1,5.4,2.3,3.2,6.9,1,35,0.972222222
137,33,0.916666667,93,0.775,2,3,4,3,2,0,3,4,1,3,3,3,1,2,4,2,2,3,above,4.45,3.55,2.7276685,29.107285,6.5,7.8,6.5,4.5,8,2,34,0.944444444
138,26,0.722222222,81,0.675,1,4,3,3,2,2,3,3,1,4,3,2,1,3,4,3,2,4,below,4.2,3.45,6.031325,40.1001,4.6,4.1,4.8,4.9,4.5,2,24,0.666666667
139,27,0.75,92,0.766666667,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,below,6.3,3.05,4.115853,37.307335,6,2.7,2.2,1.3,1.3,2,32,0.888888889
140,25,0.694444444,82,0.683333333,3,3,3,3,4,4,4,4,3,4,2,3,3,2,4,4,4,4,below,6.25,3.35,4.6913835,33.95859,4.7,1.3,0.8,0.5,5.6,1,27,0.75
141,18,0.5,80,0.666666667,2,4,3,4,2,2,4,3,1,4,4,3,3,3,3,3,2,3,control,6.8,2.4,4.426868,39.05925,4,3.3,3.6,3.4,3.2,1,24,0.666666667
142,25,0.694444444,96,0.8,2,4,3,4,3,1,3,3,3,3,3,2,1,3,3,1,3,3,below,5.5,3.5,12.4340035,50.51651,5.1,3.1,2.5,2.4,3.2,3,28,0.777777778
143,28,0.777777778,89,0.741666667,2,4,3,3,3,3,3,3,2,3,4,1,1,1,3,1,2,3,below,5.15,3.4,5.3691705,39.41952,5.6,3.8,1.8,3.4,5,1,30,0.833333333
144,30,0.833333333,109,0.908333333,0,2,1,2,0,0,1,3,2,1,0,0,0,0,1,3,0,1,below,4.5,3.35,3.456777,30.14677,5.6,5,4.9,4.7,6.8,2,31,0.861111111
145,28,0.777777778,85,0.708333333,2,3,4,1,1,3,2,3,1,1,1,3,3,3,3,1,1,2,below,4.65,3.55,16.2749135,61.961025,4.4,3.9,2.5,3.3,3.5,2,31,0.861111111
146,27,0.75,80,0.666666667,3,3,3,2,1,1,3,2,3,2,1,3,3,1,3,1,3,2,above,4.25,3.55,5.1271425,39.798585,5,6.3,5.5,5.6,5.7,2,31,0.861111111
147,24,0.666666667,82,0.683333333,1,2,4,3,1,2,1,1,2,1,3,1,2,3,3,1,1,1,below,5.45,2.9,6.0245125,50.32073,4.6,4.4,5.4,5.7,3.3,2,28,0.777777778
148,27,0.75,74,0.616666667,2,3,3,4,3,3,2,4,0,4,4,2,4,3,3,4,3,4,control,4.6,3.95,4.932856,33.00022,5.5,7.4,3.8,7.9,2.1,2,21,0.583333333
149,30,0.833333333,103,0.858333333,3,4,4,4,3,3,3,4,0,4,4,3,2,3,3,2,3,3,above,6.05,2.25,2.8203645,31.970355,7.7,7.5,7.3,6.9,5.4,2,28,0.777777778
150,25,0.694444444,74,0.616666667,1,1,3,0,1,0,1,4,1,0,0,1,1,1,1,0,1,0,control,5.45,2.4,3.38301,36.517235,4.8,4.1,4.2,3.8,4.9,2,26,0.722222222
151,26,0.722222222,97,0.808333333,3,3,3,2,3,2,2,3,0,3,3,3,0,2,3,0,2,3,above,5.1,3.05,6.032548,39.57001,3.5,4.3,3.5,1.3,1.8,2,29,0.805555556
152,31,0.861111111,92,0.766666667,2,3,3,4,1,2,1,4,3,4,1,2,3,2,2,1,2,3,below,5.9,2.4,2.2408995,28.155385,7.6,5.5,1.8,1,5,2,33,0.916666667
153,29,0.805555556,84,0.7,1,3,3,1,2,2,3,3,1,2,3,2,0,1,2,0,2,2,above,5.05,2.95,6.236498,43.335715,4.3,4.7,5.1,6.7,6.2,2,28,0.777777778
154,31,0.861111111,88,0.733333333,2,3,3,1,3,2,2,3,3,1,3,3,1,1,4,1,2,1,above,4.45,3.7,5.230533,37.88155,5.5,3.7,6.2,2.6,2.6,2,29,0.805555556
155,27,0.75,97,0.808333333,1,3,4,3,2,3,2,4,4,3,3,1,3,3,4,1,2,3,control,5.8,3.55,9.594206,47.037585,3.3,4.6,3.4,5,6.8,2,27,0.75
156,29,0.805555556,72,0.6,2,3,3,3,3,3,2,4,3,4,4,3,2,2,3,4,3,3,control,3.45,4.3,15.663824,60.61347,6.9,5,5.2,6.8,5,1,33,0.916666667
157,31,0.861111111,87,0.725,3,4,4,3,3,3,4,4,1,3,3,3,3,3,4,2,3,3,control,5.3,2.65,9.108837,46.662955,6.9,7.1,6.8,6,3.7,3,30,0.833333333
158,26,0.722222222,86,0.716666667,3,4,4,4,3,4,4,4,3,4,4,0,2,4,4,3,4,4,above,6.75,2.4,4.725188,38.85564,7,5.3,7.9,8.4,8.5,1,31,0.861111111
159,27,0.75,85,0.708333333,3,4,3,4,3,3,4,4,2,4,4,3,3,3,4,1,3,4,control,4.2,4.1,9.046077,45.51007,6.5,4.6,5.8,3.4,5.4,2,26,0.722222222
