code,cb_sum,cb_propcorrect,csvtm_sum,cvstm_propcorrect,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15,question16,question17,question18,group_all,mean_rl_all,mean_e1_all,mean_d1_all,mean_d_all,pre1,pre2,pre3,pre4,post,strategies,vp_sum,vp_propcorrect
35,33,0.916666667,104,0.866666667,0,1,3,1,1,1,1,3,1,1,3,1,1,3,2,1,0,1,below,5.45,3,9.5376625,41.023815,2.1,1.4,1.6,1.4,1.4,2,33,0.916666667
36,27,0.75,90,0.75,3,3,3,3,4,2,3,3,4,3,4,3,3,2,4,3,3,3,above,5.7,3.15,4.644387,39.016775,6,7.8,6.1,5.8,7.6,2,35,0.972222222
37,26,0.722222222,75,0.625,2,3,3,4,2,3,2,3,1,1,1,2,2,3,3,2,2,1,control,6.75,3.15,4.857551,34.110255,5.8,3.2,4.6,8,9.3,2,30,0.833333333
38,31,0.861111111,96,0.8,3,3,3,2,3,3,3,3,2,3,2,3,2,1,3,3,3,3,control,6.45,2.9,4.7010595,28.750515,6.3,5,6,6.9,7.5,3,30,0.833333333
39,32,0.888888889,112,0.933333333,3,4,3,3,3,2,3,3,2,3,3,3,2,1,3,2,3,3,above,4.9,3.6,4.6170035,30.968355,6.4,6.5,6.5,6.4,6.6,3,33,0.916666667
40,30,0.833333333,86,0.716666667,1,1,2,3,1,1,1,1,2,1,1,1,3,1,1,3,1,1,below,7.3,2.35,3.2500270000000002,34.20401,4.8,1.5,2,2.7,5,2,29,0.805555556
41,29,0.805555556,88,0.733333333,3,3,3,4,3,3,4,4,1,4,4,3,3,1,3,2,3,3,above,4.45,2.95,3.804354,33.225925,5,5.3,6,6.1,5.9,1,31,0.861111111
42,30,0.833333333,77,0.641666667,3,4,3,4,3,3,4,3,0,4,4,3,1,1,4,2,3,3,above,4.15,3.9,6.2490815,41.731635,1.8,1.8,0.4,5.3,2.1,2,35,0.972222222
43,32,0.888888889,88,0.733333333,1,4,4,3,4,4,2,4,3,4,3,4,2,3,4,3,4,4,below,4.95,3,5.292976,34.20217,5.9,6.2,6.5,4.3,5.2,2,34,0.944444444
44,30,0.833333333,99,0.825,1,4,2,3,2,2,3,4,1,3,1,1,2,1,4,2,2,4,control,3.75,4.1,4.8316925,30.40882,3,3.2,3,6.5,5.1,3,29,0.805555556
45,29,0.805555556,93,0.775,1,2,0,3,0,1,1,1,2,2,1,1,2,0,2,2,0,1,control,4.15,4.05,12.1098295,47.500375,2.2,0.5,0.9,1.8,1.1,2,33,0.916666667
46,24,0.666666667,79,0.658333333,2,3,3,2,2,2,2,3,3,2,3,2,1,1,2,1,2,3,control,4.1,4.25,14.7810465,57.56888,4.9,4.4,3.7,5.6,3.1,1,32,0.888888889
47,24,0.666666667,84,0.7,2,3,3,3,2,1,3,3,3,3,3,3,3,3,3,1,1,3,control,4.25,3,5.3734065,39.28527,5.9,4.8,4.7,5.9,2.4,1,29,0.805555556
48,25,0.694444444,87,0.725,2,3,3,4,2,3,1,2,3,3,4,2,3,3,1,3,2,3,control,5.55,2.7,17.7138985,64.90319,4.2,5,5,4.7,3.5,1,28,0.777777778
49,26,0.722222222,100,0.833333333,2,2,3,1,2,2,1,1,1,2,1,2,1,1,3,1,1,1,above,8.45,1.65,2.9333524,40.93092,4.9,4.4,4.7,4.3,4.5,1,28,0.777777778
50,21,0.583333333,89,0.741666667,3,4,4,4,4,3,4,4,2,4,4,3,3,2,4,0,4,4,above,6.3,2.95,5.400149,44.671825,6.5,7.5,7.4,6.4,8.1,2,29,0.805555556
51,30,0.833333333,88,0.733333333,2,3,2,3,2,2,3,3,3,3,2,3,3,1,4,3,2,3,control,4.6,3.2,8.6709455,47.368395,7.5,4.8,3.1,3,6.5,1,32,0.888888889
52,31,0.861111111,101,0.841666667,4,4,3,4,4,3,4,4,3,4,4,3,3,3,4,4,4,4,above,4.85,2.8,5.9310235,31.831455,6.6,7.4,6.3,8.1,6.1,1,35,0.972222222
53,26,0.722222222,72,0.6,1,3,4,3,3,3,3,3,0,4,4,3,3,1,4,3,3,4,below,5.4,3.1,4.152399,32.97924,5,7.3,8.4,7.6,8,2,33,0.916666667
54,27,0.75,100,0.833333333,2,4,3,3,3,2,2,3,1,3,4,3,1,1,3,1,2,3,above,4.3,3.9,6.62626,37.83488,5.2,6.2,6.5,5.2,6,1,34,0.944444444
55,28,0.777777778,93,0.775,3,3,3,1,2,2,3,3,2,3,2,2,3,1,3,1,2,3,control,4.9,3.2,3.8657205,32.500305,4.6,4.7,5.8,5.5,5.2,2,30,0.833333333
56,19,0.527777778,81,0.675,3,3,4,1,2,2,2,3,1,1,1,2,1,1,2,1,2,1,above,6.45,2.5,4.4196645,46.14527,4.6,2.6,1.7,1.8,7.5,2,30,0.833333333
57,32,0.888888889,89,0.741666667,4,4,3,4,4,4,3,3,1,4,3,4,1,3,4,2,4,4,above,3.7,3.8,9.7958045,49.20395,5.5,6,6.4,5.5,5.2,2,29,0.805555556
58,30,0.833333333,104,0.866666667,2,4,3,3,2,1,2,3,1,4,3,3,2,1,3,0,3,4,above,3.95,3.5,8.1804025,40.25076,5.4,4.7,6.4,6.1,4.3,1,32,0.888888889
59,30,0.833333333,76,0.633333333,3,4,3,3,4,3,4,3,1,4,4,4,2,2,3,3,3,3,control,4.75,3.25,4.8958135,33.787215,5.2,5.5,3.7,5.5,6.5,1,30,0.833333333
60,33,0.916666667,92,0.766666667,3,4,2,4,3,2,3,4,3,4,4,3,2,3,4,3,3,4,control,2.9,5.55,17.8554305,50.33883,5.7,6,6,6.4,6.2,1,32,0.888888889
61,30,0.833333333,93,0.775,3,4,4,2,4,3,2,4,1,3,2,3,1,3,4,1,3,4,control,7.5,2.5,6.291214,50.13099,6.2,5,7.2,5.2,4.9,2,24,0.666666667
62,29,0.805555556,93,0.775,3,4,3,2,3,3,3,4,4,3,2,4,3,1,4,2,3,3,above,3.55,4,8.0375245,48.557535,5,5.5,5.5,5.5,4.4,1,31,0.861111111
63,30,0.833333333,99,0.825,3,3,3,4,3,3,3,4,2,3,3,3,1,3,4,3,3,4,control,6.35,2.45,2.5054525,31.811945,6.1,3.5,4.6,6.4,6.6,2,31,0.861111111
64,31,0.861111111,88,0.733333333,3,3,3,3,3,3,3,3,1,3,2,3,3,1,3,3,3,3,below,6.6,2.2,3.806282,37.763215,8.1,7,2,2.4,2.9,2,29,0.805555556
65,29,0.805555556,102,0.85,2,2,4,1,3,3,1,1,4,3,2,1,1,0,2,0,2,2,control,3.7,4.45,8.363002,38.038225,6.1,7,2.2,5.6,0.4,3,34,0.944444444
66,28,0.777777778,80,0.666666667,3,4,4,3,3,3,4,4,3,4,4,3,3,3,4,3,3,3,below,6.15,3.3,4.41095,35.42018,3.5,1.2,2.4,2.1,3.5,3,29,0.805555556
67,24,0.666666667,81,0.675,3,4,4,4,4,4,4,4,0,4,4,3,0,4,4,3,3,4,below,4,4.3,10.5871415,49.91602,4.6,4.8,4.6,4.8,5,2,29,0.805555556
68,32,0.888888889,87,0.725,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,above,3.45,4.1,6.6269685,33.62272,7,6.6,7.7,7.7,9.2,1,34,0.944444444
69,24,0.666666667,82,0.683333333,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,below,6.15,2.7,5.1950305,39.87968,6.1,2.5,1.5,2.2,2.5,1,28,0.777777778
70,25,0.694444444,88,0.733333333,1,2,4,4,3,4,3,3,1,2,2,3,1,1,3,1,2,3,below,7.35,2.2,7.67018,52.1502,4.9,5,4.6,2.3,1.3,2,26,0.722222222
71,27,0.75,88,0.733333333,1,2,3,1,2,3,2,1,1,2,3,2,2,1,2,1,1,2,below,6.8,2.9,6.842088,44.391615,7.8,4.7,4.6,4.2,6.7,1,29,0.805555556
72,24,0.666666667,81,0.675,3,3,4,4,3,3,4,4,0,4,4,3,4,0,4,0,2,4,control,4.7,3.55,10.9484405,57.1151,6.9,7,6,6.8,4,2,27,0.75
73,31,0.861111111,90,0.75,0,1,1,0,2,1,1,3,3,1,3,1,1,1,1,0,1,0,above,6.7,2.35,4.1003457,33.733045,3.6,6.4,7.6,7.8,8.8,1,30,0.833333333
74,28,0.777777778,90,0.75,3,2,3,4,1,2,2,3,3,2,3,3,3,3,4,4,2,1,above,4.75,3.5,6.7566745,41.98138,4.8,5,6,6.9,5,1,26,0.722222222
75,24,0.666666667,93,0.775,3,3,3,4,3,3,3,2,3,3,3,3,1,2,3,3,3,3,control,5.9,2.6,4.606528,37.66031,5.9,4.8,5.9,3.5,5.5,2,29,0.805555556
76,27,0.75,91,0.758333333,2,3,3,3,3,2,4,4,3,3,2,2,1,3,4,1,2,3,below,4.5,3.5,6.3747055,41.060095,4.8,3.1,2.8,3.2,3,2,31,0.861111111
