code;question1;question2;question3;question4;question5;question6;question7;question8;question9;question10;question11;question12;question13;question14;question15;question16;question17;question18
83;0;3;3;3;2;3;3;2;3;1;2;1;0;1;3;2;2;1
84;3;4;4;4;3;4;4;4;0;4;4;4;3;3;3;1;2;4
85;3;4;4;4;3;3;3;3;3;4;4;3;2;1;4;3;3;3
86;1;3;2;3;2;1;2;2;1;3;3;3;2;2;3;2;2;3
87;2;4;3;3;3;3;3;3;2;3;3;3;2;1;4;1;3;3
88;3;4;3;2;1;2;3;3;3;2;2;2;1;1;3;1;2;2
89;3;4;4;4;4;3;4;4;1;4;4;4;4;3;4;3;3;4
90;3;4;4;4;3;3;3;3;3;4;4;3;2;3;3;2;3;4
91;3;4;4;3;2;3;3;3;2;3;3;3;3;3;4;1;2;3
92;3;3;3;3;1;3;2;3;0;2;1;3;3;1;3;1;2;1
93;3;3;3;1;3;4;3;3;1;3;1;3;4;1;3;1;3;1
94;3;3;2;3;2;2;2;1;3;3;2;3;1;2;3;1;2;3
95;0;2;3;4;1;4;0;3;3;1;2;1;1;1;1;0;1;2
96;2;3;3;3;1;1;3;3;2;3;2;2;3;3;3;1;1;3
97;3;4;4;4;4;3;4;4;3;4;4;3;3;3;4;3;3;4
98;3;3;3;3;4;3;3;3;2;3;4;3;2;3;4;3;3;3
99;2;3;4;3;2;3;1;3;1;1;2;2;3;1;3;1;2;1
100;4;3;4;1;3;3;1;4;2;3;3;3;0;2;4;1;3;4
101;1;3;2;3;1;1;1;2;3;2;1;2;1;1;2;2;1;2
102;2;3;3;4;4;3;3;4;3;4;4;3;2;2;3;2;3;4
103;2;4;3;2;3;1;1;1;1;1;3;1;1;1;3;0;2;1
104;3;4;4;4;3;3;2;4;0;4;4;3;3;3;4;2;3;4
105;1;3;3;3;1;1;3;3;1;1;1;1;1;1;3;1;1;1
106;3;4;3;4;4;3;4;3;3;3;4;3;2;3;4;1;3;3
107;2;4;3;4;2;2;2;1;3;3;3;2;2;3;3;2;2;3
108;3;3;3;4;2;1;3;3;1;3;1;3;1;3;4;1;2;3
109;3;3;3;3;2;3;3;3;3;3;3;3;2;1;3;2;2;3
110;4;3;4;3;4;4;4;4;3;4;4;4;1;2;4;3;3;4
111;1;3;4;3;2;3;2;3;3;3;2;2;3;3;2;3;2;3
